"Worksheets Name","Activity Order","LEVEL","Multiple Choice","PDF LINK","Tutor Activity Level","Welsh","PDF EMBED","PDF Link","Activity Month","Activity Score Profile","Text Formula","PDFLink","LOW Score","MID Score","HIGH Score","Record ID"
"Fake It","26","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V8 - Fake It!.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V8%20-%20Fake%20It%21.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V8%20-%20Fake%20It%21.pdf","February","Mid-High","VI326","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V8%20-%20Fake%20It%21.pdf","","Yes","Yes","608514ac45797e001d577e88"
"25min Sprints","26","2","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT - 25min Sprints.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%2025min%20Sprints.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%2025min%20Sprints.pdf","November","Low-Mid","EF226","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/EFFORT%20-%2025min%20Sprints.pdf","Yes","Yes","","608ae30f241765001c9c9483"
"V8-Ffugio","26","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V8-Ffugio.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V8-Ffugio.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V8-Ffugio.pdf","February","Mid-High","VI326","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V8-Ffugio.pdf","","Yes","Yes","645d53afe06f930b58f9895a"
"The Myth of the Curve","26","","ATTITUDE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20The%20Myth%20of%20the%20Curve%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20The%20Myth%20of%20the%20Curve%28editable%29.pdf","March","Mid-High","AT26","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20The%20Myth%20of%20the%20Curve%28editable%29.pdf","","Yes","Yes","670fd72b7a774b02cea96d03"
"Graphic Organisers","27","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P3-Graphic Organisers.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P3-Graphic%20Organisers.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P3-Graphic%20Organisers.pdf","February","High","PR327","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P3-Graphic%20Organisers.pdf","","","Yes","608ae5fca12588001bddf1c9"
"The Nine Box Grid","27","2","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - 9 Box Grid.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%209%20Box%20Grid.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%209%20Box%20Grid.pdf","February","Mid-High","PR227","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%209%20Box%20Grid.pdf","","Yes","Yes","608ae64ca12588001bddf25c"
"P3-Trefnyddion Gweledol","27","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P3-Trefnyddion%20Gweledol.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P3-Trefnyddion%20Gweledol.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P3-Trefnyddion%20Gweledol.pdf","February","High","PR327","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P3-Trefnyddion%20Gweledol.pdf","","","Yes","645d5378e06f930b58f98842"
"S8-The Lead Domino","27","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S8-The%20Lead%20Domino.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S8-The%20Lead%20Domino.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S8-The%20Lead%20Domino.pdf","February","Mid","SY327","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/S8-The%20Lead%20Domino.pdf","","Yes","","645d5399e06f930b58f988c3"
"Lead Domino","27","3","SYSTEMS","","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S8-Lead%20Domino.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S8-Lead%20Domino.pdf","February","Mid","SY327","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S8-Lead%20Domino.pdf","","Yes","","670fd7287a774b02cea96ad6"
"Clarity Countdown","27","","EFFORT","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Clarity%20Countdown%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Clarity%20Countdown%28editable%29.pdf","March","Mid-High","EF27","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Clarity%20Countdown%28editable%29.pdf","","Yes","Yes","670fd72b7a774b02cea96d0d"
"The Lead Domino","28","3","SYSTEMS","<hr style=""height:2px;background-color:#aad950;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/S8-Lead Domino.pdf"" target=""_blank""><span style=""color:rgb(118, 146, 60)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#aad950;border:none"" />","ALevel Mindset","No","","","","","SY328","","","","","6085175d45797e001d578059"
"Will vs Skill","28","2","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - Will vs Skill.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Will%20vs%20Skill.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Will%20vs%20Skill.pdf","February","Low","PR228","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Will%20vs%20Skill.pdf","Yes","","","608ae729bbfb9c001c32ac9e"
"Sticky Timetables","28","","PRACTICE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Sticky%20Timetables%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Sticky%20Timetables%28editable%29.pdf","March","Low-Mid","PR28","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Sticky%20Timetables%28editable%29.pdf","Yes","Yes","","670fd72b7a774b02cea96d17"
"Problem Solving Cycle","29","2","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE - Problem Solving Cycle.pdf"" target=""_blank""><span style=""color:rgb(149, 55, 52)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Problem%20Solving%20Cycle.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Problem%20Solving%20Cycle.pdf","October","Low","AT229","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/ATTITUDE%20-%20Problem%20Solving%20Cycle.pdf","Yes","","","6089d7046bd968001c3e0b47"
"Power of If/Then Thinking","29","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E8-Power of If-Then thinking.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E8-Power%20of%20If-Then%20thinking.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E8-Power%20of%20If-Then%20thinking.pdf","February","High","EF329","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E8-Power%20of%20If-Then%20thinking.pdf","","","Yes","6089d8a373aa75001b498d8d"
"E8-Grym Meddwl  'Os...Yna'","29","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E8-Grym%20Meddwl%20%E2%80%98Os%E2%80%A6.Yna%E2%80%99.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E8-Grym%20Meddwl%20%E2%80%98Os%E2%80%A6.Yna%E2%80%99.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E8-Grym%20Meddwl%20%E2%80%98Os%E2%80%A6.Yna%E2%80%99.pdf","February","High","EF329","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E8-Grym%20Meddwl%20%E2%80%98Os%E2%80%A6.Yna%E2%80%99.pdf","","","Yes","645d5378e06f930b58f98823"
"Verbal Recaps","29","","PRACTICE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Verbal%20Recaps%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Verbal%20Recaps%28editable%29.pdf","March","Low-Mid","PR29","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Verbal%20Recaps%28editable%29.pdf","Yes","Yes","","670fd72b7a774b02cea96d21"
"Working Weeks","30","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E2-Working Weeks.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E2-Working%20Weeks.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E2-Working%20Weeks.pdf","February","Mid","EF330","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/E2-Working%20Weeks.pdf","","Yes","","608ae23bcde0dd001e73a3e6"
"KSPA","30","2","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - K-SPA.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20K-SPA.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20K-SPA.pdf","March","Low-Mid","PR230","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20K-SPA.pdf","Yes","Yes","","608ae6bc3dd435001bac6125"
"E2-Wythnosau Gwaith","30","3","EFFORT","<hr style=""height:2px;background-color:#a4c2f4;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E2-Wythnosau%20Gwaith.pdf"" target=""_blank""><span style=""color:rgb(31, 73, 125)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a4c2f4;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E2-Wythnosau%20Gwaith.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E2-Wythnosau%20Gwaith.pdf","February","Mid","EF330","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/E2-Wythnosau%20Gwaith.pdf","","Yes","","645d536ce06f930b58f987d3"
"Diver & Thriver Goals","30","","VISION","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Diverandthriver%20Goals%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Diverandthriver%20Goals%28editable%29.pdf","March","All","VI30","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/VISION/VISION%20-%20Diverandthriver%20Goals%28editable%29.pdf","","","","670fd72b7a774b02cea96d2b"
"Know the Skills","31","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P2 - Know the Skills.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P2%20-%20Know%20the%20Skills.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P2%20-%20Know%20the%20Skills.pdf","March","Low","PR331","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P2%20-%20Know%20the%20Skills.pdf","Yes","","","608ae61f494c43001b13c8fd"
"Spaced Practice","31","2","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - Spaced Practice.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Spaced%20Practice.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Spaced%20Practice.pdf","March","High","PR231","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Spaced%20Practice.pdf","","","Yes","608ae70319e1ad001b13dcdb"
"P2-Gwybod y Sgiliau","31","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P2-Gwybod%20y%20Sgiliau.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P2-Gwybod%20y%20Sgiliau.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P2-Gwybod%20y%20Sgiliau.pdf","March","Low","PR331","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P2-Gwybod%20y%20Sgiliau.pdf","Yes","","","645d5378e06f930b58f98834"
"Worst Case Scenarios","31","","ATTITUDE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Worst%20Case%20Scenarios%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Worst%20Case%20Scenarios%28editable%29.pdf","April","Low-Mid","AT31","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/ATTITUDE/ATTITUDE%20-%20Worst%20Case%20Scenarios%28editable%29.pdf","Yes","Yes","","670fd7297a774b02cea96c24"
"Mechanical vs Flexible","32","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P8-Mechanical vs Flexible.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P8-Mechanical%20vs%20Flexible.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P8-Mechanical%20vs%20Flexible.pdf","March","Mid-High","PR332","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/P8-Mechanical%20vs%20Flexible.pdf","","Yes","Yes","608ae5acbbfb9c001c32ab62"
"Test Yourself","32","2","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE - Test Yourself.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Test%20Yourself.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Test%20Yourself.pdf","March","High","PR232","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/PRACTICE%20-%20Test%20Yourself.pdf","","","Yes","608ae6d1a12588001bddf3a7"
"P8-Mecanyddol neu Hyblyg","32","3","PRACTICE","<hr style=""height:2px;background-color:#a986ff;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P8-Mecanyddol%20neu%20Hyblyg.pdf"" target=""_blank""><span style=""color:rgb(95, 73, 122)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#a986ff;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P8-Mecanyddol%20neu%20Hyblyg.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P8-Mecanyddol%20neu%20Hyblyg.pdf","March","Mid-High","PR332","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/P8-Mecanyddol%20neu%20Hyblyg.pdf","","Yes","Yes","645d5384e06f930b58f9886f"
"Red Flag Rescue","32","","EFFORT","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Red%20Flag%20Rescue%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Red%20Flag%20Rescue%28editable%29.pdf","April","Low-Mid","EF32","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/EFFORT/EFFORT%20-%20Red%20Flag%20Rescue%28editable%29.pdf","Yes","Yes","","670fd7297a774b02cea96c2e"
"Mental Contrasting","33","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" />
<p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V7 - Mental Contrasting.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p>
<hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V7%20-%20Mental%20Contrasting.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V7%20-%20Mental%20Contrasting.pdf","March","Mid-High","VI333","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/V7%20-%20Mental%20Contrasting.pdf","","Yes","Yes","6085148e45f2a3001b7bc1f4"
"What's Stopping You","33","2","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION - What's Stopping You.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","GCSE Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20What%27s%20Stopping%20You.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20What%27s%20Stopping%20You.pdf","March","Mid-High","VI233","https://www.vespa.academy/assets/MVIMAGES/GCSEMindsetPDFS/VISION%20-%20What%27s%20Stopping%20You.pdf","","Yes","Yes","6085161f119807001b7416a2"
"V7-Cyferbynnu Meddyliol","33","3","VISION","<hr style=""height:2px;background-color:#FFA500;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V7-Cyferbynnu%20Meddyliol.pdf"" target=""_blank""><span style=""color:rgb(227, 108, 9)"">LLWYTHO</span></a></strong>
</p><hr style=""height:2px;background-color:#FFA500;border:none"" />","ALevel Mindset","Yes","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V7-Cyferbynnu%20Meddyliol.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V7-Cyferbynnu%20Meddyliol.pdf","March","Mid-High","VI333","https://www.vespa.academy/assets/MVIMAGES/WelshPDFs/L3/V7-Cyferbynnu%20Meddyliol.pdf","","Yes","Yes","645d53afe06f930b58f98954"
"Test Your Future Self","33","","PRACTICE","","VESPA Handbook","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Test%20your%20future%20self%28editable%29.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Test%20your%20future%20self%28editable%29.pdf","April","Mid-High","PR33","https://www.vespa.academy/assets/MVIMAGES/VESPAHandbookPdfs/PRACTICE/PRACTICE%20-%20Test%20your%20future%20self%28editable%29.pdf","","Yes","Yes","670fd7297a774b02cea96c38"
"Stopping Negative Thoughts","34","3","ATTITUDE","<hr style=""height:2px;background-color:#ff769c;border:none"" /><p style=""text-align:center""><strong><a href=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A2-Stopping Negative Thoughts.pdf"" target=""_blank""><span style=""color:rgb(192, 80, 77)"">DOWNLOAD PDF</span></a></strong>
</p><hr style=""height:2px;background-color:#ff769c;border:none"" />","ALevel Mindset","No","<iframe src=""https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A2-Stopping%20Negative%20Thoughts.pdf"" width=""100%"" height=""1200""></iframe>","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A2-Stopping%20Negative%20Thoughts.pdf","March","High","AT334","https://www.vespa.academy/assets/MVIMAGES/ALEVELMindsetPdfs/A2-Stopping%20Negative%20Thoughts.pdf","","","Yes","6089d7cf6bd968001c3e1269"
